Available to,CRICOS:,Availability,Duration_Time,North_Sydney_International_Start_Date,University,Currency_Time,CRICOS,Description,Int_Fees,Course,Course_Lang,Melbourne_International_Start_Date,Currency,Website,Study_Mode,Full_Time,Part_Time,Brisbane_International_Start_Date,Available to:,Location,Career_path,Domestic_Course_Price,Location:,Duration,Local_Fees
Domestic and International students.,083215J,,Years,null,Australian Catholic University,Years,090704M,The Bachelor of Psychological Science (Honours) is a one-year degree for high-achieving students who have completed a Bachelor’s degree that included an accredited three-year sequence in psychology. Students in this honours degree will: Bachelor of Psychological Science (Honours) electives include advanced topics in: A psychological science honours degree will give you an edge in an increasingly competitive job market. The Bachelor of Psychological Science (Honours) will also equip you for further study at a higher degree level.,24336.00,Bachelor of Psychological Science (Honours),English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_psychological_science_honours,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Brisbane  Melbourne  Strathfield,Students who complete the Bachelor of Psychological Science (Honours) will be eligible for provisional registration as a psychologist in any Australian state or territory.,"Average first year fee:
    $7745 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  


Strathfield  



",3.0,
Domestic and International students.,102185D,,Years,null,Australian Catholic University,Years,083215J,"ACU’s undergraduate psychology programs help students to acquire knowledge, assimilate conceptual understandings and develop skills of application that are valuable to the enhancement of human functioning in a broad range of professional settings. This degree will ensure graduates acquire an advanced understanding of human behaviour, as well as highly regarded employability skills, including: Therefore, the aim of ACU’s Bachelor of Psychology (Honours) is to: Our graduates will make meaningful contributions to improving the outcomes of clients, customers, colleagues and collaborators in a diverse range of settings including, but not limited to: government departments, private sector, schools, business, and not-for-profit organisations.",24336.00,Bachelor of Psychology (Honours),English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_psychology_honours,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Melbourne  Strathfield,"Graduates of this course - once the course is accredited - will be eligible to apply for provisional registration as a psychologist (subject to the conditions prescribed by the Psychology Board of Australia). They may also find employment in fields such as counselling, child welfare and development, education, health, human resources, marketing and market research.","Average first year fee:
    $7390 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  


Strathfield  



",3.0,
Domestic and International students.,061898C,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,102185D,"The Bachelor of Theology (Honours) is a one-year programme for high-achieving students who have completed the Bachelor of Theology pass degree or equivalent. Undertake a focused research project framed by one-on-one supervision with one of our internationally-recognised academic staff, and engage in an in-depth study of an area of theology or biblical studies in which you are particularly interested. As part of the honours degree, you will: Aside from expanding your knowledge, a theology honours degree will give you an edge in an increasingly competitive job market. You will enhance your capacity across high-level research, as well as your writing and problem solving skills – highly transferable skills that employers have identified as the necessary skill-sets for sustaining a long, distinguished and personally rewarding career.",23400.00,Bachelor of Theology (Honours),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_theology_honours,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne  Strathfield,"Graduates in theology can pursue a range of opportunities in such vocational fields as teaching, or work in church agencies and ministries, chaplaincy, community building, or undertake pastoral work. Alternatively, you may wish to pursue a career in an area that utilises the skills acquired through your theology degree, such as journalism, media, administration, or public relations. If you are interested in undertaking further higher-degree research, an honours degree will provide you with a strong foundation to pursue this path.","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Ballarat  


Brisbane  


Canberra  


Melbourne  


Strathfield  



",1.0,
Domestic and International students.,095923D,,Years,null,Australian Catholic University,Years,061898C,"The Bachelor of Applied Public Health provides students with the knowledge and skills to contribute to a healthier Australian society. Public Health is about preventing illness in populations and developing programs and practices that promote better health in individuals and communities. Public Health practitioners must understand both recent developments in scientific research and the ways in which this research can influence government policy. This degree is ideal for students who are enthusiastic about making a difference to the health of people through communication and leadership, and learning about the impact of individual lifestyle choices and intergenerational effects on health. Specifically, the course aims to: The Bachelor of Business Administration is a general business degree without specialisation in a particular subject area. The course is structured around 8 core units which are common to other undergraduate business courses and a further 4 units that will build your business knowledge in areas such as human resource management, marketing and management. Combining the Bachelor of Applied Public Health with the Bachelor of Business Administration will enable graduates to utilise their knowledge and skill in industry, the public service or in small business enterprises.",29080.00,Bachelor of Applied Public Health/Bachelor of Business Administration,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_healthbachelor_of_business_administration,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Ballarat  Brisbane  Canberra  Melbourne  Strathfield,"Social and community planning in local government Advocacy and policy in health-related non-government organisations and charities Public health / health promotion officers Government policy roles including health departments, human services and strategic policy units Australian National Preventive Health Agency Medicare Locals and other primary health and community health agencies Human services interacting with health services Small and medium sized businesses","Average first year fee:
    $6680 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",1.0,
Domestic and International students.,079445G,,Years,null,Australian Catholic University,Years,095923D,"The Bachelor of Applied Public Health/Bachelor of Global Studies is a rewarding double degree for those interested in biological, social and environmental determinants of global health and health inequality. This course is designed to provide you with an informed global perspective that will enhance your application of public health principles to address complex community and population issues in Australia and around the world. You will enhance your global knowledge and skills with a period of study abroad/exchange where you will learn about other countries and may focus on their public health systems and approaches. Ultimately graduates will be expected to be capable in leadership, with proven research skills and knowledge of the public health sector and the social, political, cultural, environmental, and economic changes that are shaping the world. This course offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma in Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities. The course aims to:",24104.00,Bachelor of Applied Public Health/Bachelor of Global Studies,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_applied_public_healthbachelor_of_global_studies,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne,National and international health agencies and non-government organisations; public sector (local and international); government service (including diplomatic service); the United Nations and other international organisations; social entrepreneurship and companies with a global outreach; international relations; human rights.,"Average first year fee:
    $8455 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",1.0,
Domestic and International students.,068241K,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079445G,"Strengthen your business qualification with communication, research and analytical skills developed in the arts degree. As part of the Bachelor of Arts, you can choose to study from a range of units in the liberal arts fields such as psychology, economics, digital journalism or literature studies. As part of the Bachelor of Commerce, you can choose to specialise in Accounting, Marketing or Human Resource Management. An innovative range of business minors from data analytics and entrepreneurship through to international business is offered at the Brisbane, North Sydney and Melbourne campuses. Pursue a career in accounting, advertising, HRM, marketing, policy administration or financial analyst.",29080.00,Bachelor of Arts/Bachelor of Commerce,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_artsbachelor_of_commerce,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne,Accounting firms Advertising Employment relations Event management Financial management Human resource management International trade and investment Marketing management Marketing research Personal investment Policy administration Retailing and wholesaling,"Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


Strathfield  



",1.0,
Domestic and International students.,074606B,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,068241K,"The Bachelor of Arts/Bachelor of Global Studies is an exciting and rewarding double degree for those interested in a wide range of contemporary social issues shaping our world including globalisation, public health; social justice; human rights; gender, race and age inequality; poverty; environmental sustainability, migration and international relations. This course offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma in Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities.",24104.00,Bachelor of Arts/Bachelor of Global Studies,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_artsbachelor_of_global_studies,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  Strathfield,Graduates may find employment in social  entrepreneurship and companies with a global outreach; international relations;  human rights; travel and tourism; public sector; government service (including  diplomatic service); the United Nations.,"Average first year fee:
    $8916 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


Strathfield  



",1.0,
Domestic and International students.,079428G,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,074606B,"The Bachelor of Arts/Bachelor of Laws is designed to produce well-rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. You can pursue a range of careers including: As a graduate of this double degree you will be well placed to develop specialist legal practice in a wide range of fields. This includes education; cultural institutions; commerce and industry; communications; community and charitable organisations; creative industries; social and policy research; and tourism and travel. As part of this degree you complete up to 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good. The Bachelor of Arts portion of the double degree gives you the flexibility to study what you are passionate about. There is a range of subjects ACU offers within the following areas: Completing a Bachelor of Arts/Bachelor of Laws is excellent preparation for pursuing a career in areas such as:",30600.00,Bachelor of Arts/Bachelor of Laws,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_artsbachelor_of_laws,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  Strathfield,This double degree is designed to produce well-rounded graduates ready for legal practice and a wide range of professional careers in an increasingly global environment.,"Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",1.0,
Domestic and International students.,088051F,,Years,null,Australian Catholic University,Years,079428G,"The Bachelor of Biomedical Science/Bachelor of Applied Public Health is a double degree for people interested in the biomedical, community and population aspects of health. Students will be introduced to the sub-disciplines of Biomedical Science including anatomy, physiology, biochemistry, pharmacology, immunology and microbiology. Studies in public health address the science and art of preventing disease, prolonging life and promoting health by improving social and political systems. Public health includes environmental, economic, technical, educational and legislative measures. Specifically, the course aims to: Combine compassion for humanity and a commitment to social justice with a sound theoretical understanding of processes affecting disadvantaged communities and individuals both locally and internationally.",24336.00,Bachelor of Biomedical Science/Bachelor of Applied Public Health,English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_sciencebachelor_of_applied_public_health,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,public health officer community development worker policy analyst program evaluator health educator project officer and consumer advocate,"Average first year fee:
    $9165 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  



",4.0,
Domestic and International students.,088052E,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,088051F,"The Bachelor of Biomedical Science/Bachelor of Business Administration is designed to develop in students an understanding of business management and how organisations work that will enhance their professional careers in a range of biomedical contexts across a range of organisations. The biomedical science component will train students in the core areas of anatomy, physiology, biochemistry, pharmacology, immunology and microbiology. Students will be introduced to each of these disciplines via core units and expected to undertake detailed study in at least one discipline, through utilization of elective units. Students will learn how the human body functions, what causes disease and how disease is treated. Graduates will be competent in applying a broad and coherent body of knowledge to undertake professional work in a range of biomedical science contexts, for example in biomedical research, in commercialisation, or in the pharmaceutical and medical technology industries. Students will enhance their business administration knowledge in a range of areas including accounting, finance, marketing, business law and business data management. Industry placements in the final year of the degree will improve employability on graduation and provide students with a practical application of their studies.",26792.00,Bachelor of Biomedical Science/Bachelor of Business Administration,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_sciencebachelor_of_business_administration,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Melbourne,"Graduates of the Bachelor of Biomedical Science/Bachelor of Business Administration can enter a wide range of business and biomedical science roles including roles in pharmaceutical and medical technology industries; roles in marketing, medical, legal, research and quality assurance. Graduates might work in research roles in Universities, hospitals or the public health sector.","Average first year fee:
    $10132 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",4.0,
Domestic and International students.,088053D,,Years,"22-Feb-2021, 21-Feb-2022",Australian Catholic University,Years,088052E,"The Bachelor of Laws/Bachelor of Biomedical Science is designed to produce well-rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. Graduates can pursue a range of legal careers including: As a graduate of this double degree you will be well placed to develop specialist legal practice in a wide range of fields. This includes roles in the pharmaceutical and medical technology industries and in roles related to the development, marketing and governance of health and disease. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good.",30600.00,Bachelor of Biomedical Science/Bachelor of Laws,English,"22-Feb-2021, 21-Feb-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_biomedical_sciencebachelor_of_laws,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,"private legal practice as a solicitor or barrister legal officer in the public sector (for example in federal or state government departments and publicly-funded organisations as diverse as national regulatory bodies, universities or public broadcasters) in-house counsel to a wide range of organisations from corporations to trade unions public interest legal work in community legal centres legal research.","Average first year fee:
    $9981 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",4.0,
Domestic and International students.,074605C,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,088053D,"The Bachelor of Business Administration/Bachelor of Global Studies is a double degree for people interested in the social, political, cultural, environmental and economic changes shaping our world. In addition to the advantages of a business education, you will undertake studies in globalisation, environmental sustainability, global health, world politics and justice and its impacts on society, economics and the environment. This degree offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma of Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities.",26272.00,Bachelor of Business Administration/Bachelor of Global Studies,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_business_administrationbachelor_of_global_studies,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,Work in private and public sectors and in global or multinational organisations; accounting; administration; banking; business analysis/development; business management; communications; computing; financial management; human resource management; international business; international marketing; management consultancy; marketing; recruitment and staff development; sales; international business; social enterprise.,"Average first year fee:
    $9271 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",4.0,
Domestic and International students.,079430C,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,074605C,"The Bachelor of Business Administration/Bachelor of Laws is designed to produce well- rounded graduates ready for legal practice and a range of professional careers in an increasingly global environment. As a graduate you can pursue a range of legal careers including: In addition to a career in the law, this double degree is excellent preparation for careers in accounting, administration, banking, business analysis/development, business management, regulatory compliance, communications, computing, financial management, human resource management, international business, international marketing, management consultancy, marketing recruitment, staff development and sales. As part of this degree you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good. You will also study business administration, which provides knowledge in many areas of business management including: Completing a Bachelor of Business Administration/Bachelor of Laws is excellent preparation for a career in:",30600.00,Bachelor of Business Administration/Bachelor of Laws,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_business_administrationbachelor_of_laws,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,This double degree is designed to produce well-rounded graduates ready for legal practice and a wide range of professional careers in an increasingly global environment.,"Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",4.0,
Domestic and International students.,078169G,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079430C,"This double degree combines the specialised knowledge of the Bachelor of Commerce with the flexibility of the Bachelor of Business Administration. If you want to stand out from the crowd and become a business leader, this is the degree for you. You can major in the Bachelor of Commerce in: You can choose to study from the following minors: You will also gain an appreciation of ethics and probity in commercial and interpersonal transactions.",29080.00,Bachelor of Commerce/Bachelor of Business Administration,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_commercebachelor_of_business_administration,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney,"Accounting Administration Advertising Banking Business Management Business analysis / development Business regulation Communications Computer hardware and software Employment relations Event management Financial management Human resource management International business, trade, investment and marketing Information Technology Management consulting Marketing Marketing management Marketing research Personal investment Policy administration Recruitment and staff development Retailing and wholesaling Sales","Average first year fee:
    $10389 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  


Strathfield  



",4.0,
Domestic and International students.,074607A,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,078169G,"Enhance your commerce specialisation with an understanding of the social, political, cultural, environmental, and economic changes shaping the world. Pursue a career as an Australian or international public servant, diplomat, social entrepreneur, travel journalist or in tourism. You can major in Accounting, Financial Services, HR Management, Management and Marketing. This degree offers students with a unique opportunity to study abroad (ACU has over 60 partner institutions around the world), or gain valuable international workplace experience with one of our internship partners. Students have the opportunity to study a Diploma of Languages in either Spanish or Italian alongside their degree to further enhance their employment opportunities.",26272.00,Bachelor of Commerce/Bachelor of Global Studies,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_commercebachelor_of_global_studies,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Brisbane  Melbourne  North Sydney  Strathfield,Business management and regulation employment relations; government service (including diplomatic service); international relations; international trade and investment; international marketing and advertising; journalism; management; personal investment; public sector; policy administration; retailing and wholesaling; travel and tourism; the United Nations system and other international organisations; social entrepreneurship; companies with a global outreach.,"Average first year fee:
    $9067 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


North Sydney  



",4.0,
Domestic and International students.,079432A,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,074607A,"The Bachelor of Commerce/Bachelor of Laws will not only give you the legal knowledge and skills to handle the demands of modern practice but also an insight into the frameworks, institutions and rule-making processes of commercial activity. Graduates will be ready for legal practice and a range of professional careers in an increasingly global environment. In addition to the core subjects required for admission to practice, the Bachelor of Laws component includes the following subjects: You can pursue a range of legal careers including: As part of this degree, you complete 80 hours of pro bono work (after your first year), providing you with firsthand experience of the legal system while allowing you to contribute to the common good. The Bachelor of Commerce portion of the degree allows you to complete studies in: Completing a Bachelor of Commerce/Bachelor of Laws is excellent preparation for pursuing a career in areas such as:",30600.00,Bachelor of Commerce/Bachelor of Laws,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_commercebachelor_of_laws,Campus availability,,,"22-Feb-2021, 26-Jul-2021 , 21-Feb-2022 , 18-Jul-2022 ",Domestic and International students.,Brisbane  Melbourne  North Sydney,This double degree is designed to produce well-rounded graduates ready for legal practice and a wide range of professional careers in an increasingly global environment.,"Average first year fee:
    $10593 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Blacktown  


Brisbane  


Melbourne  


North Sydney  



",4.0,
Domestic and International students.,0102079,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,079432A,"The Bachelor of Education(secondary)/Bachelor of Arts (Humanities) is a double degree in Education and the Arts for students who want to teach in government, independent, Catholic and other faith based secondary schools. Students will develop the professional knowledge, skills and attitudes required of an effective secondary classroom teacher. Our placement program gives you diverse classroom experiences, so you will be confident and work ready to meet the demands of an inclusive classroom when you graduate. Students will study a major and minor (and/or extended minor in humanities areas) in two Arts disciplines from the list below: n/a = Not applicable",24104.00,Bachelor of Education (Secondary)/Bachelor of Arts (Humanities),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_secondarybachelor_of_arts_humanities,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Blacktown  Brisbane  Melbourne  North Sydney,"The course is designed for those intending to become teachers in secondary schools including Catholic, government and independent settings. Graduates may teach in institutes of technical and further education (TAFE), vocational education, community education centres, private colleges and special education settings.","Average first year fee:
    $7798 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


Strathfield  



",4.0,
Domestic and International students.,0102080,,Years,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Australian Catholic University,Years,0102079,"The Bachelor of Education(secondary)/Bachelor of Arts (Mathematics) is a double degree in Education and the Arts for students who want to teach in government, independent, Catholic and other faith based secondary schools. Students will develop the professional knowledge, skills and attitudes required of an effective secondary classroom teacher. Our placement program gives you diverse classroom experiences, so you will be confident and work ready to meet the demands of an inclusive classroom when you graduate. Students will study a major and minor (and/or extended minor in humanities areas) in two Arts disciplines from the list below: n/a = Not applicable*Subject to permission from course coordinators. Unit offerings include options in Theology and Religious Education that enable students to teach in Catholic/Lutheran schools.",24104.00,Bachelor of Education (Secondary)/Bachelor of Arts (Mathematics),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_secondarybachelor_of_arts_mathematics,Campus availability,,,"22-Feb-2021, 26-Jul-2021",Domestic and International students.,Brisbane  Melbourne  Strathfield,"The course is designed for those intending to become teachers in secondary schools including Catholic, government and independent settings. Graduates may teach in institutes of technical and further education (TAFE), vocational education, community education centres, private colleges and special education settings.","Average first year fee:
    $7798 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


Strathfield  



",4.0,
Domestic and International students.,0102082,,Years,null,Australian Catholic University,Years,0102080,"The Bachelor of Education(secondary)/Bachelor of Arts (Technology) is a double degree in Education and the Arts for students who want to teach in government, independent, Catholic and other faith based secondary schools. Students will develop the professional knowledge, skills and attitudes required of an effective secondary classroom teacher. Our placement program gives you diverse classroom experiences, so you will be confident and work ready to meet the demands of an inclusive classroom when you graduate. Students will study a major and minor (and/or extended minor in humanities areas) in two Arts disciplines from the list below:",24104.00,Bachelor of Education (Secondary)/Bachelor of Arts (Technology),English,null,AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_secondarybachelor_of_arts_technology,Campus availability,,,"22-Feb-2021, 21-Feb-2022",Domestic and International students.,Brisbane  Melbourne  Strathfield,"The course is designed for those intending to become technology teachers in secondary schools including Catholic, government and independent settings. Graduates may teach in institutes of technical and further education (TAFE), vocational education, community education centres, private colleges and special education settings.","Average first year fee:
    $7390 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Strathfield  



",4.0,
Domestic and International students.,0102083,,Years,null,Australian Catholic University,Years,0102082,"The Bachelor of Education(secondary)/Bachelor of Arts (Visual Arts) is a double degree in Education and the Arts for students who want to teach in government, independent, Catholic and other faith based secondary schools. Students will develop the professional knowledge, skills and attitudes required of an effective secondary classroom teacher. Our placement program gives you diverse classroom experiences, so you will be confident and work ready to meet the demands of an inclusive classroom when you graduate. Students will study a major and minor (and/or extended minor in humanities areas) in two Arts disciplines from the list below: * Subject to permission from Course Coordinators.",24104.00,Bachelor of Education (Secondary)/Bachelor of Arts (Visual Arts),English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_secondarybachelor_of_arts_visual_arts,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Strathfield,"The course is designed for those intending to become teachers in secondary schools including Catholic, government and independent settings. Graduates may teach in institutes of technical and further education (TAFE), vocational education, community education centres, private colleges and special education settings.","Average first year fee:
    $7798 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Melbourne  


Strathfield  



",4.0,
Domestic and International students.,0102084,,Years,"22-Feb-2021, 26-Jul-2021",Australian Catholic University,Years,0102083,"Our teaching courses give you the tools to be the teacher that students remember, by giving you the skills and knowledge to make a difference in the lives of the next generation. You’ll get to teach in schools and educational settings at different stages of your course ensuring your practical experience evolves alongside your theoretical knowledge. Our Bachelor of Education programs are flexible. With a common first year across our courses, you have the choice in your second year of study to either remain in your specialisation or to pick a different one if your teaching passion lays elsewhere. The Bachelor of Education expands the options for double degree programs by enabling Secondary specialisations to be paired with other degree programs such as: Combine your love of sport and exercise with teaching to be a standout in the classroom. As a health, PE or personal development teacher, you will understand how the human body works, and the vital role of exercise in health, wellbeing and performance.",24104.00,Bachelor of Education (Secondary)/Bachelor of Exercise Science,English,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",AUD,https://courses.acu.edu.au/undergraduate/bachelor_of_education_secondarybachelor_of_exercise_science,Campus availability,,,"22-Feb-2021, 26-Jul-2021, 21-Feb-2022, 18-Jul-2022",Domestic and International students.,Melbourne  Strathfield,"Graduates are eligible for teacher registration, and may seek employment in secondary schools in government, independent, Catholic and other faith-based schools as a PE, HOPE and HPE secondary school teacher, and also in institutes of technical and further education (TAFE), vocational education, community education centres, private colleges and inclusive education settings.","Average first year fee:
    $7035 Commonwealth Supported 

    (indicative only; subject to passage of legislation)","


Brisbane  


Melbourne  


Strathfield  



",4.0,
