Study_Mode,Location,Duration:,Location:,Course,Description,Duration,Melbourne_International_Start_Date,Website,CRICOS,Domestic_Course,Available to:,North_Sydney_International_Start_Date,Brisbane_International_Start_Date,Available to,CRICOS:
Campus availability,Online,6 months full-time or equivalent part-time.,"


Adelaide  


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",Graduate Certificate in Theological Studies,"This course gives graduates in other disciplines a basic foundation in Christian theology, as well as allowing Theology graduates the opportunity to extend their knowledge in specific areas. Completing the Graduate Certificate in Theological Studies qualifies students for admission into the Master of Theological Studies. Depending on their unit choices, graduates of this course will be able to:",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_certificate_in_theological_studies,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $9064 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Adelaide  Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,1 year full-time or equivalent part-time.,"


Online  



",Graduate Diploma in Australian Migration Law and Practice,"The Graduate Diploma in Australian Migration Law and Practice equips students with the knowledge, understanding and practical skills required to practice as a qualified migration agent in Australia. The course emphasizes problem-based, real-life interactive learning experiences. The Graduate Diploma is the minimum qualification for individuals seeking registration in Australia as a Migration Agent. Upon successful completion of the Diploma and the Capstone exam administered by the Office of Migration Agents Registration Authority (OMARA), graduates may seek registration to practice as a Registered Migration Agent. There are additional requirements for registration as a Migration Agent. Course Flyer:Graduate Diploma in Australian Migration Law and Practice",6 months full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_australian_migration_law_and_practice,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $22160 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Online,1 year full-time or equivalent part-time.,"


Online  



",Graduate Diploma in Clinical Nursing,"Students undertaking the Graduate Diploma in Clinical Nursing will develop their knowledge and skills of advanced decision making in health care. In addition, the course has a strong focus on the development of leadership knowledge and skills and the importance of quality and safety in health care. Interpretation of health research is also featured. The structure of this course allows students to select a project stream or a research stream relevant to clinical nursing.",1 year full-time or equivalent part-time.,(pos1#435862#435903:  22-Feb-2021     (pos1#435862,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_clinical_nursing,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,(pos1#2358763#2358773:  22-Feb-2021     (pos1#2358763,Domestic students only.,
Campus availability,Online,1 year full-time or equivalent part-time.,"


North Sydney  

 Open Universities Australia

",Graduate Diploma in Financial Planning,The Graduate Diploma in Financial Planning allows you to specialise in the area of personal financial planning. You will be able to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. The program embraces the importance of ethical and sustainable decision making. The course is also offered fully online through Open Universities Australia. The Graduate Diploma in Financial Planning articulates into the Master of Finance. This is a one year full-time (or part-time equivalent) course.,1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_financial_planning,102811E,"['\n', <strong>Average first year fee</strong>, ':\n    $28000 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic students only.,092656J
Campus availability,North Sydney   Open Universities Australia,1 year full-time or equivalent part-time.,"


North Sydney  


Online  



",Graduate Diploma in Health Administration,The Graduate Diploma in Health Administration offers students the opportunity to build on their administrative or management foundations by evaluating current approaches to policy development and implementation in health care delivery. The structure of this course allows students to select a project stream or a research stream relevant to health administration.,1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_health_administration,092656J,"['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic and International students.,084325F
Campus availability,North Sydney  Online,1 year full-time or equivalent part-time,"


Online  



",Graduate Diploma in Health Professional Education,"The ACU Graduate Diploma of Health Professional Education supports educators of health professionals to develop advanced knowledge and skill required to promote change through innovative, engaging and evidence-based education. By building on the foundational knowledge and skill developed through the Graduate Certificate of Health Professional Education, this course aims to prepare students with advanced understanding of complex concepts related to learning and teaching of health professions. The course provides students with an understanding of research and ethics in health professional education, and the role these essential elements play in leading practice improvement and through reflective practice, critical inquiry, scholarship and research. Furthermore, the course will provide students with advanced understanding of contemporary teaching practices relevant to health professional education today. This course is designed for educators of health professions seeking a pathway to scholarship and leadership in health professional education. On successful completion of the Graduate Diploma in Health Professional Education, graduates should be able to: outline evidence-based knowledge and skills required to inform learning and teaching practice apply advanced knowledge and skills to implement and evaluate quality learning and teaching plans within complex and diverse contemporary health care settings analyse contemporary challenges in healthcare education to inform quality learning and teaching plans.",1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_health_professional_education,084325F,"['\n', <strong>Average first year fee</strong>, ':\n    $19468 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic and International students.,
Campus availability,Online,1 year full-time or equivalent part-time,"


Online  



",Graduate Diploma in High Performance Sport,"The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a range of professions, including sport scientists, coaches and managers. In Australia, there are employment opportunities in professional and semi-professional sporting teams, Australian and state institutes of sport, academies of sport, and other sporting organisations. These opportunities extend to the international market. At the heart of this industry is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, and the technologies available for monitoring and training the high performance athlete. They will need to understand the relationships between fatigue, adaptation, performance and injury, how to acquire meaningful performance data, and how to work within the culture of a high performance industry. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood (and/or duration) of injury and illness, using appropriate techniques of analysis to accurately interpret competition and training information, and using advanced information literacy skills to communicate ideas and outcomes to specialist and non-specialist audiences is essential for a professional working in the high performance sport environment. Professionals in this area also need to be equipped with problem solving and self-management skills that promote independent learning and thinking and for pursuing further learning if they are to maintain relevance in an industry that is, by definition, fiercely competitive and constantly evolving. The Graduate Diploma in High Performance Sport aims to help students develop the knowledge, understanding and skills needed to enhance the conditioning of high performance athletes, with the aim of optimising individual and team performance, within the context of a multidisciplinary environment and its culture and leadership structures, and to do so in an ethical manner characterised by a concern for respect, equity and social justice.",1 year full-time or equivalent part-time,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_high_performance_sport,084325F,"['\n', <strong>Average first year fee</strong>, ':\n    $20272 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and Overseas applicants.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,Online,1 year full-time or equivalent part-time.,"


Online  



",Graduate Diploma in Mental Health,The Graduate Diploma in Mental Health aims to expand allied health clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Graduates of the program should be able to:,1 year full-time or equivalent part-time,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_mental_health,084325F,"['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic and Overseas applicants.,
Campus availability,Online,1 year full-time or equivalent part-time.,"


Online  



",Graduate Diploma in Mental Health Nursing,The Graduate Diploma in Mental Health Nursing aims to expand nursing clinicians’ knowledge and skills in mental health practice with evidence-based knowledge and practice enabling immediate application/translation in the workplace. Graduates of the program should be able to:,1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_mental_health_nursing,084325F,"['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,Online,1 year full-time or equivalent part-time.,"

 Open Universities Australia

",Graduate Diploma in Mental Health Nursing,"The Graduate Diploma in Occupational Health, Safety and Environmental (OHSE) Management provides students with advanced technical competencies in OHSE theory and practice. The course comprises eight units that will prepare you for a professional-level position in OHSE. The Graduate Diploma in OHSEM is a pathway program to the Master of OHSEM, and is an accredited course that provides students with the educational requirements to seek certification as an OHS Professional. The Graduate Diploma is available as an exit award from the Master of OHSEM. The course is offered online through Open Universities Australia.",1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_ohse_mgmt,084325F,"['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
Campus availability,Open Universities Australia,1 year full-time or equivalent part-time.,"


Melbourne  


Strathfield  



",Graduate Diploma in Mental Health Nursing,"The Graduate Diploma in Psychology is for students who have previously completed an accredited three-year sequence in psychology. It offers advanced level study in a selection of specialised areas in psychology. The course provides graduates with an approved Australian Psychology Accreditation Council (APAC) fourth year of training in psychology. In addition to covering professional issues and ethics, assessment and intervention, and research projects into human behaviour, this graduate diploma also offers electives in advanced topics in psychology.",1 year full-time or equivalent part-time.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872",https://courses.acu.edu.au/postgraduate/graduate_diploma_in_psychology,084325F,"['\n', <strong>Average first year fee</strong>, ':\n    $22592 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",Domestic students only.,083210C
Campus availability,Melbourne  Strathfield,1 year full-time or equivalent part-time.,"


Melbourne  

 Open Universities Australia

",Graduate Diploma in Public Health,"ACU’s Graduate Diploma in Public Health equips graduates with advanced knowledge, understanding and skills in public health to improve population health and well-being. The course prepares graduates to practice with a community, national or global focus, and with an ethical, social justice perspective. On successful completion of the course, graduates should be able to demonstrate advanced knowledge across major subject areas within public health; analyse and utilise best available evidence to support public health action; and demonstrate skills needed to critique and implement a range of public health interventions. Articulation from this course into the Master of Public Health program is available.",1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_public_health,083210C,"['\n', <strong>Average first year fee</strong>, ':\n    $20272 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Domestic and International students.,089310F
Campus availability,Melbourne   Open Universities Australia,1 year full-time or equivalent part-time.,"


Brisbane  


Melbourne  


North Sydney  



",Graduate Diploma in Rehabilitation,"The Graduate Diploma in Rehabilitation provides evidence based studies for health professionals including registered physiotherapists, occupational therapists, speech pathologists, nurses and other allied health professionals who seek to extend knowledge and skills in the fields of aged and neurological rehabilitation for promotion and professional recognition, or return to the workforce. This program enables articulation to the Master of Rehabilitation (Discipline). The course builds on the health inquiry unit and units related to clinical reasoning, advanced studies in chronic disease and disability and inter-professional practice and delivers case-based, on-line studies of aged and neurological disorders for holistic management and participation, along with research methodologies to plan a work-based project and a discipline specific practicum. Graduates of the Graduate Diploma in Rehabilitation should be able to:",1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_rehabilitation,089310F,"['\n', <strong>Average first year fee</strong>, ':\n    $22818 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Domestic and International students.,086189D
Campus availability,Brisbane  Melbourne  North Sydney,1 year full-time or equivalent part-time.,"


Adelaide  


Ballarat  


Brisbane  


Canberra  


Melbourne  


Online  


Strathfield  



",Graduate Diploma in Theological Studies,"The Graduate Diploma Theological Studies is a coursework award providing pathways for graduates in other disciplines to gain a foundation in the study of Christian Theology. They also provide graduates in Theology with a means of extending their skills and knowledge in specific areas. Graduates will be able, in differing degrees, to:",1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/graduate_diploma_in_theological_studies,086189D,"['\n', <strong>Average first year fee</strong>, ':\n    $18128 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816",Domestic and International students.,
Campus availability,Adelaide  Ballarat  Brisbane  Canberra  Melbourne  Online  Strathfield,4 years full-time or equivalent part-time.,"


Melbourne  


Strathfield  



",Graduate Diploma in Theological Studies,"These concurrent degrees combine professional training within educational and developmental psychology with a research Doctor of Philosophy (PhD). During these concurrent degrees, students will: Specialisation subject units in the clinical psychology stream are:",1 year full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/master_of_psychology_clinicaldoctor_of_philosophy,086189D,"['\n', <strong>Average first year fee</strong>, ':\n    $27640 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,null,Domestic students only.,
Campus availability,Melbourne  Strathfield,4 years full-time or equivalent part-time.,"


Melbourne  



",Graduate Diploma in Theological Studies,"These concurrent degrees combine professional training within educational and developmental psychology with a research Doctor of Philosophy (PhD). During these concurrent degrees, students will: Specialisation subject units in the Educational and Developmental psychology stream are:",4 years full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/master_of_psychology_educational_and_developmentaldoctor_of_philosophy,086189D,"['\n', <strong>Average first year fee</strong>, ':\n    $27640 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,null,Domestic students only.,
Campus availability,Melbourne,"1-2 years full-time depending on credit granted for prior learning, or equivalent part-time","


Melbourne  


North Sydney  



",Master of Business Administration,"Finding your specialty is our specialty. Advance your career and become a well-rounded management professional with an MBA that puts ethics and sustainability at the forefront. Our unique MBA structure allows you to design your own specialist qualification. You’ll be able to choose four open electives, giving you control over your professional journey. Choose from: We understand the importance of learning in the real world, not just in the classroom. Our internship opportunities will help you build new networks and connect to experts in your industry – our aim is to help you make a move in your career before you’ve even graduated.",4 years full-time or equivalent part-time.," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",https://courses.acu.edu.au/postgraduate/master_of_business_administration,086189D,"['\n', <strong>Average first year fee</strong>, ':\n    $24500 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Domestic students only.,084682G
Deferment ,Melbourne  North Sydney,1.5 years full-time or equivalent part-time.,,Master of Business Administration,"A pinnacle business qualification for individuals that believe in more than just maximising profits. The corporate landscape is shifting; companies focused exclusively on maximising shareholder wealth are being challenged to consider their broader social and community obligations and how they are contributing to the common good. To what extent should corporations be ethically or values-driven rather than shareholder focused? At ACU we believe this is a false dichotomy – and an illusory trade-off. Emerging evidence suggests that serving the social good is a winning model for driving sustainable long-term profit growth and value creation. Our Executive Master of Business Admiration (MBAE) challenges participants to consider how contemporary business models can embrace ethical values and sustainable profit growth, and how these two apparently competing ambitions are, in fact, intertwined and interdependent. The MBAE is robust by design. We aim to challenge you, to engage you in lively debate, to give you skills that enable you to think critically, differently and outside of the standard, to tackle the big questions, and create bigger results with true mutual value and benefit. It is a refreshing interdisciplinary learning journey, drawing from the fields of psychology, sociology, humanities, business, economics, accounting, finance, education, and philosophy, and focusing on the core elements of business. MBAE Course Guide","1-2 years full-time depending on credit granted for prior learning, or equivalent part-time","(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",https://courses.acu.edu.au/postgraduate/master_of_business_administration_executive,084682G,"['\n', <strong>Average first year fee</strong>, ':\n    $24500 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",Domestic and International students.,
Campus availability,Melbourne  North Sydney,1.5 years full-time or equivalent part-time.,"

 Open Universities Australia

",Master of Business Administration,"The Master of Business Administration (MBA) is a generalist management degree which provides students with the skills and knowledge required to progress in a career in management. With four electives available, students can choose to specialise in a management discipline or industry of choice or undertake further study in general management with a focus on human resources. By undertaking the MBA, you will be able to advance your career through a postgraduate award that leads to enhanced professional recognition and marketability. As a graduate of the MBA you will have a sound understanding of business ethics, decision making and communication as well as specific knowledge in your chosen area of specialisation. This combination of skills, knowledge and expertise will equip you to gain employment as a well-rounded management professional. MBA students who have completed the requirements prescribed for the Graduate Certificate in Business Administration or the Graduate Diploma in Business Administration may exit from the course with the relevant award by arrangement with the Course Coordinator.",1.5 years full-time or equivalent part-time.,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",https://courses.acu.edu.au/postgraduate/master_of_business_administration_oua,084682G,"['\n', <strong>Average first year fee</strong>, ':\n    $24500 Fee-Paying \n\n    (indicative only)\n\n']",,null,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 26-Jul-2021     #435844   #435844#  , 21-Feb-2022     #435844   #435844#435902:  , 18-Jul-2022     #435844",Domestic and International students.,
Campus availability,Open Universities Australia,1.5 years full-time or equivalent part-time.,"


Brisbane  


Melbourne  


Strathfield  



",Master of Clinical Exercise Physiology,"The Master of Clinical Exercise Physiology provides advanced academic study in the discipline of clinical exercise physiology. The postgraduate course delivers a sequence of units in the context of clinical assessment and exercise as a preventative, prescriptive and rehabilitative process for acute, sub-acute and chronic injuries as well as non-communicable diseases and concomitant multimorbidities. This specialisation will provide professional training, skills, competencies and clinical experience needed for accreditation by Exercise and Sports Science Australia (ESSA). The Master of Clinical Exercise Physiology will develop knowledge and skills in: As an exercise physiologist, you will understand what’s involved in: This specialisation will provide professional training, skills, competencies and clinical practicum hours needed for accreditation by the Exercise and Sports Science Australia (ESSA).",1.5 years full-time or equivalent part-time.," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 21-Feb-2022
     #435844",https://courses.acu.edu.au/postgraduate/master_of_clinical_exercise_physiology,084682G,"['\n', <strong>Average first year fee</strong>, ':\n    $7390 Commonwealth Supported \n\n    (indicative only; subject to passage of legislation)\n\n']",Domestic and International students.," (pos1#435876#435905:  

22-Feb-2021

     (pos1#435876
   #435872
, 21-Feb-2022
     #435872"," (pos1#435820#435900:  

22-Feb-2021

     (pos1#435820
   #435816#435900:  
, 21-Feb-2022
     #435816",Domestic and International students.,076036D
Campus availability,Brisbane  Melbourne  Strathfield,1.5 years full-time or equivalent part-time,"


Online  



",Master of Clinical Nursing,"The Master of Clinical Nursing builds on from the Graduate Certificate in Clinical Nursing and the Graduate Diploma in Clinical Nursing bringing the clinical expert and clinical leadership components together. It aims to expand the health clinician's knowledge and skills in clinical nursing at a specialist and advanced level. The course includes carefully designed coursework units with embedded research-led teaching, with both project and thesis options Graduates of the Master of Clinical Nursing will be able to:",1.5 years full-time or equivalent part-time.,"(pos1#435848#435902:  22-Feb-2021     (pos1#435848   #435844#435902:  , 21-Feb-2022     #435844",https://courses.acu.edu.au/postgraduate/master_of_clinical_nursing,076036D,"['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,"(pos1#435876#435905:  22-Feb-2021     (pos1#435876   #435872, 21-Feb-2022     #435872","(pos1#435820#435900:  22-Feb-2021     (pos1#435820   #435816#435900:  , 21-Feb-2022     #435816",Domestic and International students.,
Campus availability,Online,1.5 years - 2 years full-time or equivalent part-time.,"


Melbourne  


Online  



",Master of Education,"This course is designed for educators or those working in educational contexts who wish to pursue further studies in a specialised area. It will not lead to a teaching qualification. The Master of Education enables teachers professionals working in other educational contexts to develop advanced knowledge and expertise. The course enhances career advancement opportunities for teachers and other professionals engaged in lead educational roles such as education administrators, researchers, policy makers, career counsellors, psychologists, members of the defence forces, youth ministers and family/parish educators. Specialist areas leading to a named specialisation: This advanced education course will enable students to enhance professional knowledge and pedagogical practices, and to demonstrate knowledge and understanding of recent research. Students with a postgraduate qualification in Education may apply for credit and complete the degree in less time.",1.5 years full-time or equivalent part-time,null,https://courses.acu.edu.au/postgraduate/master_of_education,076036D,"['\n', <strong>Average first year fee</strong>, ':\n    $18128 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
22-Feb-2021
     (pos1#435848
   #435844#435902:  
, 26-Jul-2021
     #435844
   #435844#  
, 21-Feb-2022
     #435844
   #435844#435902:  
, 18-Jul-2022
     #435844",Domestic students only.,"084792A, 099127M"
Campus availability,Melbourne  Online,1.5 years - 2 years full-time or equivalent part-time.,"


Melbourne  


Online  



",Master of Educational Leadership,"The Master of Educational Leadership course at the Australian Catholic University is a values underpinned, research driven, practically orientated program designed to support the capabilities of current and aspiring educational leaders wishing to enhance their leadership capacity within the context of their professional settings and the Australian national standards.  Participants explore theories of educational leadership, management and administration, and learn to apply them appropriately to their own contexts including Catholic and faith-based educational organisations defined as those organisations affiliated with a religious group or established Church. Taught by active researchers and experienced practitioners, this course explicitly integrates theory and practice to enable graduates to apply the latest research, and the knowledge and skills to improve their organisations with effective leadership informed by defensible ethical and moral principles. The course has been designed to enable participants with varying leadership and career circumstances to select appropriate units to meet their needs.  Alumni have been successful in gaining promotion and/or admission to doctoral study. The program is flexibly delivered in response to participants’ needs, organisational dynamics and unique contexts. Participants design and implement a leadership project as part of a culminating Capstone. Specialist areas leading to a named specialisation:",1.5 years - 2 years full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/master_of_educational_leadership,"084792A, 099127M","['\n', <strong>Average first year fee</strong>, ':\n    $20394 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435848#435902:  
04-Jan-2021
     (pos1#435848
   #435844#435902:  
, 03-Jan-2022
     #435844",Domestic and International students.,"084793M, 099128K"
Campus availability,Melbourne  Online,1.5 years full-time or equivalent part-time.,"


North Sydney  


Online  



",Master of Health Administration,"This Masters degree will expand your knowledge and skills in administrative and management foundations, while ensuring relevance to contemporary health care provision. Graduates of the Master of Health Administration students will be able to:",1.5 years - 2 years full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/master_of_health_administration,"084793M, 099128K","['\n', <strong>Average first year fee</strong>, ':\n    $20004 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and International students.,null," (pos1#435862#435903:  

22-Feb-2021

     (pos1#435862
   #435858
, 26-Jul-2021
     #435858
   #435858
, 21-Feb-2022
     #435858
   #435858
, 18-Jul-2022
     #435858",Domestic and International students.,084332G
Campus availability,North Sydney  Online,1.5 year full-time or equivalent years part-time.,"


Online  



",Master of Health Professional Education,"The Master of Health Professional Education supports the acquisition of evidence-based practice as a framework, to develop clinicians’ knowledge and skills using contemporary learning and teaching strategies. Graduates from this course will have an advanced level of knowledge and skills to educate and lead education of and for health professionals, with the overall intention of improving safe and quality patient care. The course will enable health educators to work across a range of health education settings and the understanding to employ educational strategies relevant to contemporary healthcare workplaces. The course connects theory, practice and research and the structure of the course enables students to undertake studies relevant to their level of professional development and readiness to undertake further studies. It enables students to exit at an earlier level of qualification as well as continue building their knowledge and skills base due to the scaffolding approach of the program. Students can tailor their course by selecting one elective unit focusing on advancing skill and knowledge. Graduates of the Master of Health Professional Education will be able to:",1.5 years full-time or equivalent part-time.,null,https://courses.acu.edu.au/postgraduate/master_of_health_professional_education,084332G,"['\n', <strong>Average first year fee</strong>, ':\n    $19468 Fee-Paying \n\n    (indicative only)\n\n']",Domestic students only.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic and International students.,
Campus availability,Online,1 year full-time or equivalent part-time,"


Online  



",Master of High Performance Sport,"The high performance sport industry is a global, multi-billion dollar entity that provides employment opportunities for a vast range of professions. In Australia, there are employment opportunities in professional and semi-professional sport, Australian and state institutes of sport and academies of sport, and other sporting organisations, and these opportunities extend to the international market. At the heart of high performance sport is the conditioning of the athlete, with the aim of optimising individual and team performance for successful outcomes. A professional working in this industry needs to know about testing protocols to assess athlete performance, principles of strength and conditioning, and the technologies available for monitoring and training the high performance athlete. They will need to understand the relationships between fatigue, adaptation, performance and injury, how to acquire meaningful performance data, and how to work within the culture of a high performance industry. The application of this knowledge and understanding to the planning and delivery of meaningful interventions for athletes to enhance performance and reduce the likelihood (and/or duration) of injury and illness, using appropriate techniques of analysis to accurately interpret competition and training information, and using advanced information literacy skills to communicate ideas and outcomes to specialist and non-specialist audiences is essential for a professional working in the high performance sport environment. Professionals in this area also need to be equipped with problem solving and self-management skills that promote independent learning and thinking and for pursuing further learning if they are to maintain relevance in an industry that is, by definition, fiercely competitive and constantly evolving. This course is designed to suit a postgraduate clientele that is already in the workforce, as well as graduating students. The course provides flexible learning pathways that can accommodate: To meet these objectives, the primary design feature is that the majority of the course is delivered in the online mode. A suite of coursework subjects focus on the preparation and performance of high performance athletes, including technological advances for athlete monitoring, strength and conditioning, fatigue, recovery and adaptation, and injury prevention and management. Multidisciplinary and interdisciplinary foci built into the curriculum will bring together current and new knowledge from allied health professions within the industry, for example, sports psychology, skill acquisition, nutrition and dietetics, exercise physiology, physiotherapy, sports medicine and rehabilitation, including a specialist seminar series of guest speakers from sports science and related fields. Issues of leadership, culture, and communication in high performance sport setting area addressed, and a foundation of project design and research skills is incorporated into the program with direct application to high performance sporting contexts. To support these subjects, an intensive on-campus component is incorporated as a four day offering during the course. This component offers students hands-on experience with the latest technology in the industry, while providing the added opportunity to network directly with industry specialists and other students in the course.",1.5 year full-time or equivalent years part-time.,null,https://courses.acu.edu.au/postgraduate/master_of_high_performance_sport,084332G,"['\n', <strong>Average first year fee</strong>, ':\n    $20272 Fee-Paying \n\n    (indicative only)\n\n']",Domestic and Overseas applicants.,null,"(pos1#435862#435903:  22-Feb-2021     (pos1#435862   #435858, 26-Jul-2021     #435858   #435858, 21-Feb-2022     #435858   #435858, 18-Jul-2022     #435858",Domestic students only.,
